"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@es","invoice_label@es"
"EXEMPT_SALE","0% EXEMPT","Exempt (sales)","Exempt (sales)","0.0","percent","sale","tax_group_iva_0","base","invoice","","Exento (ventas)","Exento (ventas)"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","",""
"IVA_16_SALE","16%","VAT (16.0%) sales","VAT (16.0%) sales","16.0","percent","sale","tax_group_iva_16","base","invoice","","IVA (16.0%) ventas","IVA (16.0%) ventas"
"","","","","","","","","tax","invoice","account_activa_account_20103003","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_activa_account_20103003","",""
"IVA_8_SALE","8%","VAT (8.0%) sales","VAT (8.0%) sales","8.0","percent","sale","tax_group_iva_8","base","invoice","","IVA (8.0%) ventas","IVA (8.0%) ventas"
"","","","","","","","","tax","invoice","account_activa_account_20103003","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_activa_account_20103003","",""
"IVA_31_SALE","31%","VAT (31.0%) sales","VAT (31.0%) sales","31.0","percent","sale","tax_group_iva_31","base","invoice","","IVA (31.0%) ventas","IVA (31.0%) ventas"
"","","","","","","","","tax","invoice","account_activa_account_20103003","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_activa_account_20103003","",""
"EXEMPT_PURCHASE","0% EXEMPT","Exempt (purchases)","Exempt (purchases)","0.0","percent","purchase","tax_group_iva_0","base","invoice","","Exento (compras)","Exento (compras)"
"","","","","","","","","tax","invoice","","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","","",""
"IVA_16_PURCHASE","16%","VAT (16.0%) purchases","VAT (16.0%) purchases","16.0","percent","purchase","tax_group_iva_16","base","invoice","","IVA (16.0%) compras","IVA (16.0%) compras"
"","","","","","","","","tax","invoice","account_activa_account_10107002","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_activa_account_10107002","",""
"IVA_8_PURCHASE","8%","VAT (8.0%) purchases","VAT (8.0%) purchases","8.0","percent","purchase","tax_group_iva_8","base","invoice","","IVA (8.0%) compras","IVA (8.0%) compras"
"","","","","","","","","tax","invoice","account_activa_account_10107002","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_activa_account_10107002","",""
"IVA_31_PURCHASE","31%","VAT (31.0%) purchases","VAT (31.0%) purchases","31.0","percent","purchase","tax_group_iva_31","base","invoice","","IVA (31.0%) compras","IVA (31.0%) compras"
"","","","","","","","","tax","invoice","account_activa_account_10107002","",""
"","","","","","","","","base","refund","","",""
"","","","","","","","","tax","refund","account_activa_account_10107002","",""
